ID,Video Title,Views,Likes,Dislikes,Favorites,isClickbait
LEt_PaG4TCY,Clash Royale Enter the EXECUTIONER'S KITCHEN!  (New Season! Balance Changes!),1427958,39725,990,0.0,0
AxE6wEuLHQ0,Champagne Poetry,3737793,97297,4524,0.0,0
t8N4L3MUE58,Real Things Said in Classrooms Pt. 26,439929,70227,564,0.0,0
H5O5MEcqGBU,BABY # 2 NAME REVEAL! (SUPER EMOTIONAL AND CUTE!),213991,7882,286,0.0,0
R84W2hbmaKk,The Truth About Making Cartoons,5334360,478899,3594,0.0,0
xgxaD2UR3PI,Drake - CERTIFIED LOVER BOY First REACTIONREVIEW,654203,29188,979,0.0,0
ccqvF4USYxw,Costa Rica vs. Mxico 0-1  Rumbo al Mundial  Telemundo Deportes,166483,1276,95,0.0,0
3breWY0OYYg,I thought this golf club was a HUGE GIMMICK but....,296621,6281,71,0.0,0
RxN33FlwOYE,Notre Dame Fighting Irish at Florida State Seminoles  Full Game Highlights,190217,2183,88,0.0,0
Da_DgFQImns,Minecraft but Creepers beat the game for me,3959587,96936,2914,0.0,0
0cVrM49M9Y4,I Started a Secret Base War,872678,21409,379,0.0,0
5wvATZb7-Eo,Exclusive Images of deserted Kabul airport hours after US withdrawal  FRANCE 24 English,781701,6179,483,0.0,0
vX9msKu75qs,Drake ft. Future and Young Thug - Way 2 Sexy (Official Video),13630604,503416,21303,0.0,0
HTpXpGAQ9hk,CG5 - Vibrant Eyes [Dream SMP original song],1039172,125160,754,0.0,0
3N5QX6VI9VA,"ADAM COLE On His AEW ALL OUT 2021 DEBUT, MAKING HIS DECISION & MORE!",224956,6856,114,0.0,0
XJlY7O0X0L8,Qualifying Highlights  2021 Dutch Grand Prix,3304392,81058,930,0.0,0
MJCFqyGDUYw,BIGGEST UPSET OF THE DECADE! 1v1 Basketball Against D'Vontay Friga,514661,39193,3875,0.0,0
r1QJ08dsIKA,Rick and Morty  S5E9 Cold Open Morty Cleans Up Rick's Mess  adult swim,1734668,37655,294,0.0,0
OsXH5n1EftY,Did you know that for LORD OF WAR...,989354,42855,1053,0.0,0
sckA6yvi-5g,"Game Theory FNF, The Bob Mod SOLVED! (Friday Night Funkin)",1783044,115093,1545,0.0,0
0SLgKlJVD28,All About Tha (BOOM!) Adam Cole AEW Entrance Theme  AEW Music,329106,15898,143,0.0,0
tXHhgLkBml4,"Jhay Cortez, Anuel AA - Ley Seca (Official Video)",4191598,202802,3447,0.0,0
w5gHvonef7U,200 Days - [Minecraft with Tors],2713610,172354,2068,0.0,0
l9VfMBczLJs,"Paul Heyman gives Roman Reigns a message from Brock Lesnar SmackDown, Sept. 3, 2021",1948490,55238,1037,0.0,0
iQuiaWysdsI,Building a 5 Acre Pond! (Hurricane Update),370869,18603,176,0.0,0
fGeBKxkOeyg,Lil Duval - Sexy (Official Video) ft. Boosie Badazz,315321,20784,501,0.0,0
rXhGajRFLlY,Race Highlights  2021 Dutch Grand Prix,3868339,95877,1469,0.0,0
LUtVmVBOf94,Battlefield 2042 NEW Gameplay and Details!,1243918,45419,1406,0.0,0
BXON04DtguY,"Minecraft, But Upside Down",667069,48756,1442,0.0,0
Lv4IYZu-A3s,Home surveillance video shows speed of Waverly flooding,308859,3640,134,0.0,0
B6v6I4u7LJU,WHO CAN PUNCH THE HARDEST IN AMP,232821,14510,99,0.0,0
cSScHSu-4dw,Rick and Morty is Real.,583682,12996,1006,0.0,0
raDUPBsszWs,Hermitcraft S8 My Mountain Isn't Big Enough For This...  Episode 9,454438,32230,208,0.0,0
AxapZvcWmfw,I Built a REAL Chick-fil-A in my House!!!,1248102,31343,1405,0.0,0
F_OOTBRjY18,Evolving The Biggest Army Possible To Win,389431,15702,194,0.0,0
bcQu8zXPh-w,I've been thinking of retiring.,2569670,428488,3659,0.0,0
9SbuBy562YA,Inside Japan's WORST Hotel Room  Feat. @CDawgVA,834150,68925,666,0.0,0
4WK-5BTsgeE,Can We Break Into a BANK SAFE With This WRECKING BALL,1054025,61286,540,0.0,0
IGWJ_wMjlBU,vegan eats MEAT for 24 hours...,344665,24331,639,0.0,0
7f7ReYaqV6I,Carlos Alcaraz vs Stefanos Tsitsipas Highlights  2021 US Open Round 3,1411523,16551,444,0.0,0
4-BfhjZyCzs,Crucify But Everyone Sings It (Friday Night Funkin' Animation),1117549,30283,1157,0.0,0
3Fus4Xb_TLg,The Wheel Of Time  Official Teaser Trailer  Prime Video,4457949,61444,3576,0.0,0
_Jul0ViWlp0,This Sphere is in Vanilla Minecraft,2115528,114074,1137,0.0,0
eB-0qQzJBxs,Mario Vs Luigi - Cartoon Beatbox Collabs,566318,28294,495,0.0,0
LXLmSz4Wb9w,Full Cabin Tour  Before & After 1 Year of Renovations,388719,30946,283,0.0,0
oqICzYBjjTw,DaBaby - Wockesha (Freestyle) [Official Video],1823136,137724,3211,0.0,0
qAqPB2Lzo-k,The MOST INSANE TikTok Hacks,398427,6616,896,0.0,0
GDRcCvQNY-g,World's Largest Water Tunnel!,6106336,300841,3120,0.0,0
oURjAOHF9HY,Destroying Friendships with the Minecraft Gravity Mod,5427054,709329,2206,0.0,0
5HqMh-JjohA,JayDaYoungan - All Rise [Official Music Video],385234,25654,570,0.0,0
XinZpehXLhk,The Dogs Go On a RV CAMPING TRIP!,211985,7386,88,0.0,0
pAzEY1MfXrQ,ABBA - I Still Have Faith In You,14308318,304916,6870,0.0,0
X499udfoYKU,12 Types of Students in Every Computer Class,1166494,56814,1059,0.0,0
LLQNiiZgz9A,Yellowstone Season 4 Official Trailer  Paramount Network,1950445,6309,278,0.0,0
RTR9Y9DZNJ4,Mocking up the interior (Rebuilding Tally Ho  EP105),319671,28805,121,0.0,0
iYzFC6dugQk,I Got Hunted By 1000 Chickens!,2187444,130910,1966,0.0,0
05K5glVCwis,Trying TikTok Computer Hacks...,1898229,107379,2248,0.0,0
xDL-cFvzd4Q,The Sims 4 Spa Day Refresh Official Trailer,443639,36923,724,0.0,0
ld0xulQ8NU8,Unboxing Samsung's Mind Bending New Display...,1002665,40521,1709,0.0,0
tUFwR65wYGY,INSANE MINECRAFT CHALLANGE - DRAWING SUBSCRIBERS EVERYDAY (DAY 33) #shorts,227386,18128,414,0.0,0
WjKEAZWMzqs,12 Minutes... HOW CAN I SAVE MY BABY IN TWELVE MINUTES,4213438,467145,1502,0.0,0
cgqlihvt0a0,Big30 - Free Shiest Life ft. Pooh Shiesty (Official Video),1046498,39291,473,0.0,0
UYhhzHUqg4A,I Googled Myself...,893833,131128,474,0.0,0
zxYjTTXc-J8,"Last To Leave Circle Wins $500,000",40712459,2390269,24583,0.0,0
tyt3MUAWGfM,Speedrunning Cuphead is much harder than you think,675641,31018,420,0.0,0
hWGWFa3jznI,ABBA - Don't Shut Me Down (Lyric Video),6974136,198395,2919,0.0,0
WQon-XHvny8,OFFICIAL SCIENTIST Mod in Among Us,3607286,238848,3356,0.0,0
MEPlwur1zjs,Daddy Yankee - MTELE AL PERREO (Official Video),17750100,201744,9571,0.0,0
AF7GtSjo1Zs,Monstermax 1s New Replacement,2549399,98754,1858,0.0,0
q_S-96-pLxU,"Big30 Talks About Memphis, Pooh Shiesty, Moneybagg Yo, Blrrrd Adlib, Yo Gotti, OTF, Debut Tape",584870,11624,247,0.0,0
DwoodDN9xNA,Georgia Bulldogs vs. Clemson Tigers  Full Game Highlights,177955,1959,56,0.0,0
nJfVSMZzudk,"100 People Decide Who Wins $30,000!",10361039,503673,7119,0.0,0
dmxXJqV59do,How To Win 1v2's,143480,8620,583,0.0,0
3nHWYFbKcs4,"Ohio State at Minnesota  C.J. Stroud Looks Good in Opener vs Gophers  Sept. 2, 2021  Highlights",139105,1084,68,0.0,0
WMgie1MqwJM,Testing Level 100 Clickbait Minecraft Hacks!,966850,26354,828,0.0,0
hLD9-V59BLg,Falling Into The Genshin Impact Hole,1009232,134932,684,0.0,0
3q3ECDEhqgE,How To Beat The DEATH GAME In Funhouse,1230859,60245,650,0.0,0
sjXnU_jYGf8,How to Master the Zandvoort F1 Track!  Nico Rosberg  Dutch GP 2021,525063,19976,226,0.0,0
Polrj_OuohE,Different types of Students during Lunch,296673,17721,278,0.0,0
HpvHiNf8z3w,Official Moving Day!,656606,41401,1706,0.0,0
nFB6ETkOz4o,100 LEGO Mystery Buttons but Only One Lets You Escape... ft Unspeakable,2067033,68353,1860,0.0,0
RMx_CG2Zk9c,El Salvador vs. USA Extended Highlights  CONCACAF World Cup Qualifying  CBS Sports Golazo,389762,2862,179,0.0,0
THVbtGqEO1o,Drake - Fair Trade (Audio) ft. Travis Scott,6217842,232483,3940,0.0,0
x_qSdnjhbw4,Building an UNBREAKABLE TESSERACT CUBE!,1687124,81479,1474,0.0,0
PugcxQYJGjs,Lanky Kong listens to DK Rap for the first time,839745,102699,567,0.0,0
cigmdYsgg_4,Can We Become American Ninja Warriors (Daequan and Hamlinz),819705,68459,402,0.0,0
s7MTM4BKZ_E,Why Anecdotes Trump Data,980055,36060,1347,0.0,0
AjqBXAFlrTc,How Rickson Gracie Learned to Overcome Fear,471265,13724,149,0.0,0
